UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,torque_speed_ratio,ambient_temperature,load_density
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,0.0177790903721205,31.371163595982168,0.6561197569434594
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,0.03599701269604182,30.347710169277363,0.8666907633947787
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,0.01418242491657397,19.544392052872823,0.6235680282377941
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,0.034038054968287525,30.031601079391272,0.6793859759309386
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0.01951951951951952,27.962378295459843,0.8279581141952117
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0.0222578576010263,34.53944993773344,0.8389649201138176
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,0.03347107438016529,32.39372631857081,0.3200497013422558
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0.023213156230234032,27.872580592384935,0.8134312560533166
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0.02724113968033357,27.922096382554944,0.32147095935850795
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0.03676577229876722,34.011219496729595,0.7031957526063104
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0.03888888888888889,31.89738996368076,0.4521064901288219
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0.03333333333333333,35.28262216697018,0.331976648773548
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0.0371345029239766,21.00757672168892,0.6817754502347411
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0.03589181286549708,34.48146398323421,0.8274297579749861
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,0.03534985422740525,30.7307992725525,0.7174130497625935
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0.03226902173913043,33.62356709677038,0.3566550808404939
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0.03297515110812626,30.08368830889799,0.980310456780352
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0.01399891481280521,33.361585582959854,0.4321640925045219
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0.032651622002820874,37.49129086449925,0.9043183307481995
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,0.03782456140350877,26.764760795750597,0.9172944068143392
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0.03123229461756374,28.983388154143977,0.8590091663826043
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,0.0016078294302691366,26.846177902458482,0.9543884921069865
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,0.03969631236442516,29.65080931379026,0.5204810066312109
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0.029258517034068135,33.10354549505751,0.7503883411631443
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0.022428115015974442,31.382632818158612,0.8584770414291842
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0.017800118273211117,33.43158834514543,0.7386473024568606
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0.02691798941798942,26.637443528939745,0.5411089091614277
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0.02870683818551117,26.067549754977282,0.3875188165665249
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0.02663582286847323,31.14873378163505,0.7779715084416821
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0.017760385310054184,25.998665935687953,0.7392721696512015
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0.03947750362844702,31.857527628441343,0.879698408360905
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0.037760229720028717,30.129940656365065,0.6610784677378119
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0.023994974874371862,29.760956921369512,0.59906076579387
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0.012520503007107709,27.14592776641019,0.5077442704084236
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,0.014293598233995584,25.33082547099052,0.893684997222653
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,0.02534471437951412,25.601523257844157,0.40773012961560695
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,0.03235294117647059,25.188639348736384,0.31205403632406054
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0.017093508040500298,34.50285637681167,0.6305204525972359
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0.030081855388813097,29.407559425965047,0.8807010345179629
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0.021218074656188603,30.552246288022577,0.33387871826181914
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,0.046595744680851064,31.877966466180354,0.7828662223805016
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,0.011746361746361747,28.02997328012302,0.5716440926682673
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,0.03133608815426997,33.94040390279962,0.6715670787592998
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,0.032432432432432434,35.3887865492008,0.6645851906203994
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,0.02198492462311558,34.2297504061646,0.846021450838091
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,0.020174890693316676,30.54971658129438,0.83726416689171
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0.03386511965192168,37.39968447077358,0.545162384518659
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0.03278576317590691,35.03900903049316,0.7782999894706356
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,0.02838487972508591,26.55186913036775,0.7196972317672127
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0.03683834048640915,31.43888341813203,0.6598236297014785
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0.027032810271041367,31.582340651071796,0.807299828681469
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0.03453287197231834,17.679109106766955,0.9044892912761004
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0.032758620689655175,25.467778596047296,0.9890883767227743
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0.02807983482450103,30.906456795989264,0.9109991568197058
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0.027297481279782165,15.616904511509995,0.7494152057849777
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0.03347398030942335,31.575745684832256,0.6127756149397587
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0.014855875831485588,23.31435470211776,0.9885588982557034
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0.030571030640668524,30.063372145809367,0.8607519626090456
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0.020595854922279794,38.472490726175145,0.3162485997455434
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0.03185341789992953,33.63970916672435,0.4311194070905368
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0.0265635507733692,31.995686991359136,0.7668570211699961
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0.014717626925270965,31.226964739456555,0.4202391589357797
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0.01360655737704918,31.57160585738036,0.6867946598402196
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,0.015691951360741172,25.33766064032115,0.6135869345459984
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,0.029655172413793104,33.213096508672386,0.3947290062027882
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,0.01966707768187423,28.87490137824482,0.4015289406524542
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,0.038638045891931906,25.67524155094805,0.8620858058715206
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,0.022412698412698412,28.886712402114288,0.4489226307228679
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,0.017085714285714284,25.220259386598368,0.3285221413394732
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,0.021386527141922827,26.95153500351092,0.7665239589065032
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,0.029152987524622455,28.638666826725856,0.38735677100711396
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,0.013498920086393088,32.79800245063784,0.9607980135578036
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,0.01039678553490708,28.30120142567891,0.976321351047369
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,0.026109324758842443,33.82440212116187,0.5517337878036458
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,0.028105482303955587,31.94933465576205,0.863009323977239
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,0.02993103448275862,23.146832743400786,0.4591472943618107
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,0.01954745443117536,37.629039033353095,0.7321861244554431
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,0.03356401384083045,45.72533372260497,0.44819109660981404
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,0.0312625250501002,31.6005366635728,0.5847592930786125
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,0.020172732880937693,34.86047390945491,0.7020483619780995
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,0.02169211195928753,23.335395151536368,0.9831231516254857
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,0.01201923076923077,30.220940352890924,0.5540633277303055
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,0.029019346230820548,32.0104757911274,0.642300807850829
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,0.02636849132176235,35.834966112082164,0.5590154600134918
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,0.02819650067294751,27.11657701341451,0.8215457683949967
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,0.017499999999999998,33.60969656002257,0.3463435461596978
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,0.031935709294199865,28.670157617801372,0.45735637418558384
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,0.021803069053708442,29.326941933103974,0.6283703339123821
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,0.020637898686679174,30.799378749682873,0.3954748438467525
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,0.016461628588166376,29.91830512309817,0.6578663037194385
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,0.027743694614860263,36.958464917226166,0.3852655334450822
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,0.031193300767620377,26.398613896114412,0.7567281848533942
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,0.02644415917843389,23.527267578980886,0.3021253489400395
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,0.03870229007633588,34.347800092037,0.5325530376880854
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,0.028072445019404917,24.405976287950093,0.6843109597830456
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,0.01702374059061957,30.988642442444913,0.5680600212844686
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,0.020641025641025643,33.86695071705989,0.9947617078640729
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,0.045522949586155007,38.54948680013818,0.42036954632090684
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,0.032908704883227176,36.67682510524055,0.3097930498710143
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,0.024322621298046628,24.063898302859855,0.8316670950957525
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,0.022001282873636945,30.25029073071056,0.34578456884533626
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,0.027902240325865583,28.566772329139614,0.8454080086595805
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,0.015947035118019575,36.39529170784182,0.573043246665011
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,0.029979181124219295,32.73091437600351,0.7215568466611653
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,0.03468531468531469,28.149081529436753,0.3541123393464257
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,0.03871439006574142,35.88773590410199,0.6899636239371638
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,0.016656925774400935,25.387280059353124,0.7276041285474864
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,0.032183098591549296,29.551796042599364,0.8403503291596381
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,0.04263685427910563,34.14368182289334,0.5712724521019494
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,0.03409247757073844,28.817875269081636,0.6419977282559353
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,0.044006309148264984,29.597624443061644,0.6644328530172221
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,0.023891462607544673,27.51525027239989,0.9164573357547761
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,0.0227979274611399,32.24284715166186,0.8368208211521251
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,0.015860517435320586,29.195431994251972,0.7158920557162685
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,0.035891968727789623,29.39941206368182,0.9986866230714644
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,0.030481667864845435,37.038557206895575,0.323423112429079
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,0.022207534699272967,34.32589545132465,0.9995475098066628
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,0.022394540942928042,31.76285858676335,0.661811138572192
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,0.02646864686468647,25.914208634034175,0.7781779031832994
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,0.03480783176214648,39.38287366436287,0.904096167442491
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,0.027087576374745417,23.866365934316214,0.8458226010221459
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,0.030028129395218005,35.53902201840728,0.45742572471231246
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,0.025700615174299387,32.38899325722229,0.4887609313758029
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,0.025883838383838384,34.31037849446825,0.7142046466755976
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,0.014594594594594595,26.02505404040415,0.722873156056129
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,0.023691099476439794,21.955073740102872,0.5890490614494015
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,0.00996477101157524,21.615152087730813,0.37220523431706903
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,0.03076923076923077,28.183872666081104,0.843980910788227
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,0.02943166441136671,21.054312150182426,0.7993395675411314
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,0.0266844563042028,31.581441249494805,0.4076088787065827
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,0.03195105370496261,35.43993377211628,0.4016434419569694
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,0.04734789391575663,21.27582118350888,0.3698427248245808
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,0.03703966005665722,21.216930994687097,0.6057281192728174
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0.022383354350567465,25.356273816961014,0.6742398205871083
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,0.029836512261580378,30.8917924473502,0.6388656157111756
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,0.03027777777777778,28.46135033920483,0.9332521883460276
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,0.015002885170225043,26.556926059061944,0.46344330635305925
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0.02022332506203474,23.40596669512691,0.8642144963695184
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0.0294238683127572,27.50197782711605,0.5681823621322879
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,0.043475226796929514,30.17018459083924,0.6678429443502092
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,0.04484066767830046,29.114877988823128,0.41243127829914544
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,0.021739130434782608,26.520529251576992,0.8365943285722319
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,0.0347469220246238,33.55556649471987,0.5439015904143568
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,0.010810810810810811,27.82823043782411,0.593241663742182
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,0.021181646763042114,35.06565903771316,0.9290212937807734
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,0.04464012251148545,21.32156467131309,0.883413897980055
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,0.03147612156295224,26.69888335134936,0.9796090660800807
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,0.021446229913473426,31.29823331855957,0.5334876023133858
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,0.010764587525150904,30.931913057110016,0.7300017124037401
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,0.03495821727019499,36.805266226474274,0.3252872260914208
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,0.03819018404907975,31.713365865173888,0.6702776316334538
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,0.03383050847457627,22.053889293658692,0.7306191373411057
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,0.013267543859649122,31.671167538714695,0.4777122972064822
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,0.03584202682563339,27.856562172861334,0.5917664716993032
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,0.027407407407407408,25.19739071268001,0.9819803618287974
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,0.01835632873425315,27.43662232733231,0.9543439619478842
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,0.02641770401106501,31.175765598008237,0.4849404766995209
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,0.04304381245196003,41.63768316784882,0.3677353464810047
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,0.031254532269760694,37.29926467588086,0.6144618594463972
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,0.020921544209215444,28.551430880403366,0.6025117870914087
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,0.02820012995451592,35.31313413036826,0.38477642576064136
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,0.03378469871360867,24.44379775316148,0.32322722065008375
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,0.020768307322929173,28.796636277977573,0.3770872238643975
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,0.037052932761087266,25.082135337668625,0.9883718636165892
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,0.02061978545887962,34.649673897278056,0.7322228689479715
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,0.003995519044062733,30.71715984024465,0.8355559452367114
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,0.029525120440467997,30.685498759545293,0.6321284260953102
